elec_id,codmuni,year,municipio,c_match_munidept,c_match_presdept,c_match_munideptpres,c_match_none,coddept,tipo_eleccion,cam_dvote,cam_mvote,dstot,c_votepro_centro,c_votepro_conserv,c_votepro_iz,c_votepro_lib,c_votepro_min,c_votepro_other,c_votepro_tv,c_votepro_urib,c_seatpro_centro,c_seatpro_conserv,c_seatpro_iz,c_seatpro_lib,c_seatpro_min,c_seatpro_other,c_seatpro_tv,c_seatpro_urib
camara02,5501,2002,OLAYA,0,0,1,0,5,3,1097317,743,17,0.00403768506056528,NA,NA,0.134589502018843,NA,0,NA,0.331090174966353,0,NA,NA,0.294117647058824,NA,0.352941176470588,NA,0.352941176470588
camara02,5541,2002,PE/OL,0,1,0,0,5,3,1097317,3106,17,0.00128783000643915,NA,NA,0.40952994204765,0.00482936252414681,0,NA,0.168061815840309,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5543,2002,PEQUE,0,1,0,0,5,3,1097317,1166,17,8.57632933104631e-4,NA,NA,0.641509433962264,0.00257289879931389,0,NA,0.0411663807890223,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5576,2002,PUEBLORRICO,0,1,0,0,5,3,1097317,2539,17,0.00393855848759354,NA,NA,0.386372587632926,0.00354470263883419,0,NA,0.291453328081922,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5579,2002,PUERTO BERRIO,0,1,0,0,5,3,1097317,7553,17,0.0103270223752151,NA,NA,0.0533562822719449,0.0160201244538594,0,NA,0.0438236462332848,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5585,2002,PUERTO NARE,0,0,1,0,5,3,1097317,3007,17,0.0142999667442634,NA,NA,0.0608579980046558,0.0219487861656136,0,NA,0.136015962753575,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5591,2002,PUERTO TRIUNFO,0,0,1,0,5,3,1097317,3087,17,0.0090702947845805,NA,NA,0.0375769355361192,0.0136054421768707,0,NA,0.050210560414642,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5604,2002,REMEDIOS,0,1,0,0,5,3,1097317,2930,17,0.00580204778156997,NA,NA,0.0627986348122867,0.00819112627986348,0,NA,0.0320819112627986,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5607,2002,RETIRO,0,1,0,0,5,3,1097317,4955,17,0.00807265388496468,NA,NA,0.319475277497477,0.00887991927346115,0,NA,0.17941473259334,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5615,2002,RIONEGRO,0,0,1,0,5,3,1097317,30869,17,0.00430852959279536,NA,NA,0.126437526320904,0.00767760536460527,0,NA,0.439081278952995,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5628,2002,SABANALARGA,0,1,0,0,5,3,1097317,2080,17,4.80769230769231e-4,NA,NA,0.246153846153846,0.00240384615384615,0,NA,0.209615384615385,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5631,2002,SABANETA,0,0,1,0,5,3,1097317,11244,17,0.00453575240128068,NA,NA,0.197260761294913,0.00844895055140519,0,NA,0.287264318747777,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5642,2002,SALGAR,0,1,0,0,5,3,1097317,2593,17,7.71307365985345e-4,NA,NA,0.598920169687621,0.00501349787890474,0,NA,0.147319706903201,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5647,2002,SAN ANDRES,0,0,1,0,5,3,1097317,1588,17,0.00125944584382872,NA,NA,0.110201511335013,0.00125944584382872,0,NA,0.682619647355164,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5649,2002,SAN CARLOS,0,0,1,0,5,3,1097317,2048,17,0.00634765625,NA,NA,0.11767578125,0.00341796875,0,NA,0.171875,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5652,2002,SAN FRANCISCO,0,1,0,0,5,3,1097317,802,17,0.00374064837905237,NA,NA,0.468827930174564,NA,0,NA,0.143391521197007,0,NA,NA,0.294117647058824,NA,0.352941176470588,NA,0.352941176470588
camara02,5656,2002,SAN JERONIMO,0,1,0,0,5,3,1097317,2990,17,0.0020066889632107,NA,NA,0.382608695652174,0.00602006688963211,0,NA,0.260535117056856,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5658,2002,SAN JOSE DE LA MONTA/A,0,0,1,0,5,3,1097317,1058,17,0.00378071833648393,NA,NA,0.166351606805293,0.00661625708884688,0,NA,0.532136105860113,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5659,2002,SAN JUAN DE URABA,0,0,1,0,5,3,1097317,2481,17,0.00241837968561064,NA,NA,0.100765820233777,0.00201531640467553,0,NA,0.68037081821846,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5660,2002,SAN LUIS,0,0,1,0,5,3,1097317,1153,17,8.67302688638335e-4,NA,NA,0.0607111882046834,0.00433651344319167,0,NA,0.233304423243712,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5664,2002,SAN PEDRO,0,0,1,0,5,3,1097317,4620,17,0.00216450216450216,NA,NA,0.0952380952380952,0.00562770562770563,0,NA,0.598917748917749,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5665,2002,SAN PEDRO DE URABA,0,0,1,0,5,3,1097317,3868,17,0.0046535677352637,NA,NA,0.104963805584281,0.00439503619441572,0,NA,0.481127197518097,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5667,2002,SAN RAFAEL,0,0,1,0,5,3,1097317,2862,17,0.00209643605870021,NA,NA,0.206848357791754,0.00279524807826695,0,NA,0.405660377358491,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5670,2002,SAN ROQUE,0,0,1,0,5,3,1097317,4306,17,0.00301904319554111,NA,NA,0.0315838365071993,0.0018578727357176,0,NA,0.0415699024616814,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5674,2002,SAN VICENTE,0,0,1,0,5,3,1097317,5249,17,0.00438178700704896,NA,NA,0.170699180796342,0.024766622213755,0,NA,0.329586587921509,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5679,2002,SANTA BARBARA,0,1,0,0,5,3,1097317,6402,17,0.00218681661980631,NA,NA,0.67681974383005294,0.00296782255545142,0,NA,0.0898156825991877,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5686,2002,SANTA ROSA DE OSOS,0,0,1,0,5,3,1097317,8876,17,0.0030419107706174,NA,NA,0.042812077512393,0.00360522757999099,0,NA,0.633168093735917,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5690,2002,SANTO DOMINGO,0,0,1,0,5,3,1097317,2934,17,0.00238582140422631,NA,NA,0.0412406271301977,0.00613496932515337,0,NA,0.107361963190184,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5697,2002,SANTUARIO,0,0,1,0,5,3,1097317,7944,17,0.0027693856998993,NA,NA,0.109138972809668,0.00201409869083585,0,NA,0.149546827794562,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5736,2002,SEGOVIA,0,1,0,0,5,3,1097317,3481,17,0.00430910657856938,NA,NA,0.0614765871875898,0.00402183280666475,0,NA,0.0384946854352198,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5756,2002,SONSON,0,0,1,0,5,3,1097317,7324,17,0.00354997269251775,NA,NA,0.152102676133261,0.00750955761878755,0,NA,0.313899508465319,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5761,2002,SOPETRAN,0,1,0,0,5,3,1097317,4229,17,0.00283755024828565,NA,NA,0.551667060770868,0.00141877512414282,0,NA,0.144478600141878,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5789,2002,TAMESIS,0,1,0,0,5,3,1097317,4937,17,0.0340287624063196,NA,NA,0.214502734454122,0.00729187765849706,0,NA,0.20072918776585,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
